2026-04-20 13:43:57.213 |  INFO |         _admin-raftNode-0 | i.axoniq.axonserver.cluster.LeaderState  | _admin in term 1: apply configuration change 4: Create context _admin
2026-04-20 13:43:57.214 |  INFO |         _admin-raftNode-0 | i.axoniq.axonserver.cluster.LeaderState  | _admin in term 1: update last applied configuration change index 4
2026-04-20 13:43:57.228 |  INFO |         _admin-raftNode-0 | i.axoniq.axonserver.cluster.LeaderState  | default in term 1: apply configuration change 5: Create context default
2026-04-20 13:43:57.228 |  INFO |         _admin-raftNode-0 | i.axoniq.axonserver.cluster.LeaderState  | default in term 1: update last applied configuration change index 5
2026-04-20 13:43:57.235 |  INFO |         _admin-raftNode-0 | i.a.a.logging.ClusterEventsLogger        | _admin: context _admin created, my role PRIMARY, min event token 0, min snapshot token 0
2026-04-20 13:43:57.335 |  INFO |        default-raftNode-0 | i.a.a.l.file.WritableFileStorageTier     | default-EVENT: Index on disk is up to date
2026-04-20 13:43:57.341 |  INFO |        default-raftNode-0 | i.a.a.l.file.WritableFileStorageTier     | default-EVENT: Opening file ./events/default/00000000000000000000.events
2026-04-20 13:43:57.345 |  INFO |        default-raftNode-0 | i.a.a.l.file.WritableFileStorageTier     | default-EVENT: Segments initialized
2026-04-20 13:43:57.357 |  INFO |        default-raftNode-0 | i.a.a.l.file.WritableFileStorageTier     | default-SNAPSHOT: Index on disk is up to date
2026-04-20 13:43:57.358 |  INFO |        default-raftNode-0 | i.a.a.l.file.WritableFileStorageTier     | default-SNAPSHOT: Opening file ./events/default/00000000000000000000.snapshots
2026-04-20 13:43:57.360 |  INFO |        default-raftNode-0 | i.a.a.l.file.WritableFileStorageTier     | default-SNAPSHOT: Segments initialized
2026-04-20 13:43:57.371 |  INFO |        default-raftNode-0 | i.a.a.logging.ClusterEventsLogger        | default: context default created, my role PRIMARY, min event token 0, min snapshot token 0
2026-04-20 13:43:58.802 |  INFO |           grpc-executor-4 | i.a.a.logging.TopologyEventsLogger       | Application connected: history-service, clientId = 1@18a18a5e35c6, clientStreamId = 1@18a18a5e35c6.798c052f-d69b-4eb0-93c6-0cb05c510e3e, context = default
